Price,Bathrooms,Furniture,Tenant Preference,Floor,Flat,Location,Area,Total Floors
27500,2.0,Furnished,Bachelors,3,1,Delhi,DDA Kaveri Apartment,4.0
38000,2.0,Semi-Furnished,Bachelors/Family,6,3,Delhi,Aero View Heights,10.0
80000,3.0,Semi-Furnished,Bachelors,2,3,Delhi,Greater Kailash 1,4.0
50000,3.0,Semi-Furnished,Bachelors,1,3,Delhi,DDA Flats Sarita Vihar,4.0
55000,3.0,Semi-Furnished,Bachelors/Family,2,3,Delhi,Punjabi Bagh,4.0
100000,3.0,Unfurnished,Bachelors/Family,3,3,Delhi,Greater Kailash 1,4.0
100000,3.0,Unfurnished,Bachelors/Family,2,3,Delhi,Green Park,4.0
30000,2.0,Semi-Furnished,Bachelors/Family,1,3,Delhi,Vasundhara Enclave,3.0
60000,2.0,Unfurnished,Bachelors/Family,2,3,Delhi,DDA Flats Vasant Kunj,4.0
26000,2.0,Semi-Furnished,Bachelors,3,2,Delhi,DDA Flats Sarita Vihar,4.0
55000,3.0,Semi-Furnished,Bachelors,2,3,Delhi,Sector 8 Dwarka,4.0
41999,2.0,Semi-Furnished,Bachelors/Family,1,3,Delhi,DDA Flats Munirka,3.0
39000,2.0,Unfurnished,Bachelors/Family,1,2,Delhi,DDA Flats Munirka,3.0
40000,2.0,Semi-Furnished,Bachelors/Family,1,3,Delhi,DDA Flats Sarita Vihar,3.0
35000,2.0,Semi-Furnished,Bachelors,2,2,Delhi,DDA Mig Flats Sarita Vihar,4.0
25000,2.0,Unfurnished,Bachelors,1,2,Delhi,DDA Sudarshan Apartment,3.0
23700,2.0,Semi-Furnished,Bachelors,1,3,Delhi,Chattarpur,4.0
29000,4.0,Semi-Furnished,Bachelors,4,3,Delhi,Vasant Vihar Builder Floor,4.0
28000,1.0,Semi-Furnished,Bachelors,3,1,Delhi,RWA Flats,3.0
29000,2.0,Unfurnished,Family,0,3,Mumbai,Oberoi Springs,75.0
29000,3.0,Unfurnished,Bachelors/Family,23,3,Mumbai,Lodha Marquise,75.0
94000,2.0,Semi-Furnished,Family,13,3,Mumbai,Gundecha Symphony,17.0
68000,2.0,Unfurnished,Bachelors/Family,19,2,Mumbai,Piramal Revanta,40.0
50000,2.0,Semi-Furnished,Bachelors/Family,11,1,Mumbai,Kanakia Rainforest,16.0
72000,3.0,Semi-Furnished,Family,3,3,Mumbai,Rasik Apartment,8.0
77000,2.0,Unfurnished,Bachelors,23,2,Mumbai,Imperial Heights,42.0
29000,3.0,Semi-Furnished,Family,12,3,Mumbai,Vile Parle West,16.0
